Common_name,Hectad,Time_period,Exclude
Great Brocade,HP60,2012-2016,1
Great Brocade,HT93,2012-2016,1
Red Sword-grass,HU31,2012-2016,0
Great Brocade,HU31,2012-2016,1
Great Brocade,HU35,2012-2016,1
Great Brocade,HU44,2012-2016,1
Scarce Silver Y,HU46,1975-1991,1
Red Sword-grass,HU46,1975-1991,0
Great Brocade,HU46,1975-1991,1
Gold Spangle,HY20,1975-1991,0
Gold Spangle,HY20,2012-2016,0
Scarce Silver Y,HY20,1975-1991,1
Red Sword-grass,HY20,2012-2016,0
Great Brocade,HY20,2012-2016,1
Red Sword-grass,HY21,1975-1991,0
Scarce Silver Y,HY30,1975-1991,1
Golden-rod Brindle,HY30,1975-1991,0
Sword-grass,HY30,1975-1991,0
Red Sword-grass,HY30,1975-1991,0
Great Brocade,HY30,1975-1991,1
Great Brocade,HY31,1975-1991,1
Red Sword-grass,HY32,2012-2016,0
Great Brocade,HY32,2012-2016,1
Gold Spangle,HY41,2012-2016,0
Sword-grass,HY41,2012-2016,0
Red Sword-grass,HY41,2012-2016,0
Great Brocade,HY41,1975-1991,1
Great Brocade,HY41,2012-2016,1
Red Sword-grass,HZ27,2012-2016,0
Gold Spangle,NC01,1975-1991,0
Gold Spangle,NC01,2012-2016,0
Scarce Silver Y,NC01,1975-1991,0
Golden-rod Brindle,NC01,1975-1991,0
Red Sword-grass,NC01,1975-1991,0
Red Sword-grass,NC01,2012-2016,0
Great Brocade,NC01,2012-2016,0
Gold Spangle,NC02,2012-2016,0
Scarce Silver Y,NC02,2012-2016,0
Golden-rod Brindle,NC02,2012-2016,0
Red Sword-grass,NC02,2012-2016,0
Gold Spangle,NC10,1975-1991,0
Scarce Silver Y,NC10,1975-1991,0
Sword-grass,NC10,1975-1991,0
Red Sword-grass,NC10,1975-1991,0
Red Sword-grass,NC13,2012-2016,0
Gold Spangle,NC21,1975-1991,0
Scarce Silver Y,NC21,1975-1991,0
Red Sword-grass,NC21,1975-1991,0
Golden-rod Brindle,NC33,2012-2016,0
Gold Spangle,NC40,1975-1991,0
Gold Spangle,NC50,1975-1991,0
Scarce Silver Y,NC50,1975-1991,0
Golden-rod Brindle,NC50,1975-1991,0
Golden-rod Brindle,NC50,2012-2016,0
Red Sword-grass,NC50,1975-1991,0
Red Sword-grass,NC50,2012-2016,0
Gold Spangle,NC55,2012-2016,0
Gold Spangle,NC56,2012-2016,0
Gold Spangle,NC66,2012-2016,0
Gold Spangle,NC70,1975-1991,0
Gold Spangle,NC70,2012-2016,0
Scarce Silver Y,NC70,2012-2016,0
Golden-rod Brindle,NC70,1975-1991,0
Red Sword-grass,NC70,1975-1991,0
Red Sword-grass,NC70,2012-2016,0
Gold Spangle,NC74,2012-2016,0
Gold Spangle,NC80,2012-2016,0
Scarce Silver Y,NC80,2012-2016,0
Golden-rod Brindle,NC80,2012-2016,0
Red Sword-grass,NC80,2012-2016,0
Scarce Silver Y,NC82,2012-2016,0
Gold Spangle,NC85,2012-2016,0
Gold Spangle,NC86,2012-2016,0
Scarce Silver Y,NC86,2012-2016,0
Red Sword-grass,NC86,2012-2016,0
Great Brocade,NC86,2012-2016,1
Gold Spangle,NC90,2012-2016,0
Scarce Silver Y,NC90,2012-2016,0
Red Sword-grass,NC91,2012-2016,0
Gold Spangle,NC92,2012-2016,0
Golden-rod Brindle,NC92,2012-2016,0
Red Sword-grass,NC94,2012-2016,0
Gold Spangle,NC96,1975-1991,0
Gold Spangle,NC96,2012-2016,0
Red Sword-grass,NC96,1975-1991,0
Great Brocade,NC96,1975-1991,1
Red Sword-grass,ND02,2012-2016,0
Gold Spangle,ND03,2012-2016,0
Gold Spangle,ND05,2012-2016,0
Gold Spangle,ND06,2012-2016,0
Gold Spangle,ND12,2012-2016,0
Great Brocade,ND12,1975-1991,1
Gold Spangle,ND13,1975-1991,0
Gold Spangle,ND13,2012-2016,0
Gold Spangle,ND14,2012-2016,0
Gold Spangle,ND15,1975-1991,0
Gold Spangle,ND15,2012-2016,0
Red Sword-grass,ND15,1975-1991,0
Gold Spangle,ND16,2012-2016,0
Red Sword-grass,ND16,2012-2016,0
Gold Spangle,ND23,2012-2016,0
Red Sword-grass,ND24,2012-2016,0
