"Hectad","n_recs"
"",53708
"C30",10
"C40",57
"C41",23
"C42",4
"C50",40
"C51",35
"C52",32
"C60",400
"C62",118
"C63",151
"C70",76
"C71",81
"C72",16
"C73",1143
"C80",147
"C81",1566
"C82",19
"C83",129
"C90",47
"C91",10
"C92",11
"C93",515
"C94",718
"D00",11
"D01",88
"D02",32
"D03",73
"D04",256
"D05",176
"D10",9
"D11",37
"D12",135
"D13",1941
"D14",294
"D15",439
"D20",997
"D21",138
"D22",1865
"D23",1425
"D24",30
"D30",1096
"D31",1011
"D32",173
"D40",9
"G94",13
"G95",14
"G96",5
"H03",2
"H04",43
"H05",242
"H06",144
"H08",4
"H13",907
"H14",73
"H15",100
"H16",18
"H17",7
"H18",1
"H22",32
"H23",205
"H24",594
"H25",64
"H26",17
"H27",19
"H28",24
"H31",1085
"H32",13365
"H33",13
"H34",1723
"H35",4
"H36",16
"H37",19
"H38",45
"H42",1
"H43",2292
"H44",70
"H45",3
"H46",5
"H47",1939
"H48",559
"H49",2
"H54",34
"H55",18
"H56",34
"H57",911
"H58",50
"H59",9
"H64",24
"H65",11
"H66",3
"H67",202
"H68",38
"H69",8
"H74",1
"H75",277
"H76",119
"H77",16
"H78",255
"H79",11
"H82",11
"H83",8
"H84",214
"H85",2294
"H86",3163
"H87",70
"H88",23
"H89",35
"H91",7
"H92",2
"H93",41
"H94",111
"H95",1811
"H96",417
"H97",13
"H98",11744
"H99",332
"HP40",2
"HP50",43
"HP51",3
"HP60",229
"HP61",53
"HT93",34
"HU15",3
"HU24",4
"HU25",4
"HU27",62
"HU28",2
"HU30",3
"HU31",488
"HU32",8
"HU33",10
"HU34",13
"HU35",89
"HU36",12
"HU37",36
"HU38",7
"HU40",5
"HU41",65
"HU42",68
"HU43",114
"HU44",194
"HU45",8
"HU46",102
"HU47",5
"HU54",47
"HU56",4
"HU57",2
"HU58",1
"HU59",4
"HU68",1
"HU69",41
"HY10",5
"HY20",6468
"HY21",76
"HY22",221
"HY30",402
"HY31",1935
"HY32",1092
"HY33",6
"HY40",60
"HY41",6033
"HY42",35
"HY43",62
"HY44",65
"HY45",2
"HY50",21
"HY51",2
"HY52",2
"HY53",4
"HY62",39
"HY63",6
"HY64",165
"HY74",12
"HY75",41
"HZ16",3
"HZ17",5
"HZ26",10
"HZ27",3909
"J01",64
"J02",67
"J03",154
"J04",121
"J05",2724
"J06",6158
"J07",1
"J08",20
"J09",45
"J11",9
"J12",117
"J13",2
"J14",40
"J15",9
"J16",125
"J17",234
"J18",6014
"J19",724
"J21",465
"J22",26
"J23",73
